title,certificate,duration,genre,rating,stars,votes
Elementary,TV-14,60,"Crime, Drama, Mystery",7.9,7,110920
13 Reasons Why,TV-MA,60,"Drama, Mystery, Thriller",7.5,7,289319
Maid,TV-MA,545,Drama,8.4,7,81102
The King,R,140,"Biography, Drama, History",7.3,10,127673
The Adam Project,PG-13,106,"Action, Adventure, Comedy",6.7,10,193255
Top Boy,TV-MA,60,"Crime, Drama, Thriller",8.4,7,25235
Emily in Paris,TV-MA,30,"Comedy, Drama, Romance",6.9,7,88868
Grease,PG,110,"Comedy, Musical, Romance",7.2,10,275313
Sicario,R,121,"Action, Crime, Drama",7.6,10,425967
The Devil All the Time,R,138,"Crime, Drama, Thriller",7.1,10,133166
The Fall,TV-MA,60,"Crime, Drama, Thriller",8.1,7,104577
Elite,TV-MA,60,"Crime, Drama, Thriller",7.4,7,77113
Legally Blonde,PG-13,96,"Comedy, Romance",6.4,10,216974
2001: A Space Odyssey,G,149,"Adventure, Sci-Fi",8.3,10,662697
The Little Things,R,128,"Crime, Drama, Mystery",6.3,10,99050
The Guilty,R,90,"Crime, Drama, Thriller",6.3,10,121907
Naruto,TV-PG,24,"Animation, Action, Adventure",8.4,7,99442
Broadchurch,TV-MA,48,"Crime, Drama, Mystery",8.4,7,112247
Scorpion,TV-14,43,"Action, Crime, Drama",7.0,7,53803
Spirited Away,PG,125,"Animation, Adventure, Family",8.6,10,751180
Adventure Time,TV-PG,11,"Animation, Action, Adventure",8.6,7,93949
Dead to Me,TV-MA,30,"Comedy, Crime, Drama",8.0,7,76565
The Nice Guys,R,116,"Action, Comedy, Crime",7.3,10,324865
Designated Survivor,TV-14,60,"Action, Drama, Mystery",7.5,7,90424
Dracula,TV-14,270,"Action, Drama, Fantasy",6.8,7,47794
Narcos: Mexico,TV-MA,50,"Crime, Drama",8.4,7,83199
300,R,117,"Action, Drama",7.6,10,815351
That's Amor,TV-14,96,"Comedy, Romance",5.2,10,2055
Resident Evil,TV-MA,60,"Action, Horror, Sci-Fi",4.0,7,39033
Grace and Frankie,TV-MA,30,Comedy,8.2,7,51896
The Man from Toronto,PG-13,110,"Action, Adventure, Comedy",5.8,10,43867
Snowpiercer,TV-MA,60,"Action, Drama, Sci-Fi",6.9,7,54342
The Killing,TV-14,45,"Crime, Drama, Mystery",8.3,7,111425
The Power of the Dog,R,126,"Drama, Romance, Western",6.8,10,169764
Baby Driver,R,113,"Action, Crime, Drama",7.6,10,528768
The Haunting of Bly Manor,TV-MA,494,"Drama, Horror, Mystery",7.3,7,101853
My Hero Academia,TV-14,24,"Animation, Action, Adventure",8.4,7,60041
